"gid","iso_a2","code","level_1"
501350,"US","01350","Massachusetts"
501351,"US","01351","Massachusetts"
501354,"US","01354","Massachusetts"
501355,"US","01355","Massachusetts"
501360,"US","01360","Massachusetts"
501364,"US","01364","Massachusetts"
501366,"US","01366","Massachusetts"
501367,"US","01367","Massachusetts"
501368,"US","01368","Massachusetts"
501370,"US","01370","Massachusetts"
501373,"US","01373","Massachusetts"
501375,"US","01375","Massachusetts"
501376,"US","01376","Massachusetts"
501378,"US","01378","Massachusetts"
501379,"US","01379","Massachusetts"
501420,"US","01420","Massachusetts"
501430,"US","01430","Massachusetts"
501431,"US","01431","Massachusetts"
501432,"US","01432","Massachusetts"
501434,"US","01434","Massachusetts"
501436,"US","01436","Massachusetts"
501438,"US","01438","Massachusetts"
501440,"US","01440","Massachusetts"
501450,"US","01450","Massachusetts"
501451,"US","01451","Massachusetts"
501452,"US","01452","Massachusetts"
501453,"US","01453","Massachusetts"
501460,"US","01460","Massachusetts"
501462,"US","01462","Massachusetts"
501463,"US","01463","Massachusetts"
501464,"US","01464","Massachusetts"
501467,"US","01467","Massachusetts"
501468,"US","01468","Massachusetts"
501469,"US","01469","Massachusetts"
501473,"US","01473","Massachusetts"
501474,"US","01474","Massachusetts"
501475,"US","01475","Massachusetts"
501501,"US","01501","Massachusetts"
501503,"US","01503","Massachusetts"
501504,"US","01504","Massachusetts"
501505,"US","01505","Massachusetts"
501506,"US","01506","Massachusetts"
501507,"US","01507","Massachusetts"
501510,"US","01510","Massachusetts"
501515,"US","01515","Massachusetts"
501516,"US","01516","Massachusetts"
501518,"US","01518","Massachusetts"
501519,"US","01519","Massachusetts"
501520,"US","01520","Massachusetts"
501521,"US","01521","Massachusetts"
501522,"US","01522","Massachusetts"
501523,"US","01523","Massachusetts"
501524,"US","01524","Massachusetts"
501525,"US","01525","Massachusetts"
501527,"US","01527","Massachusetts"
501529,"US","01529","Massachusetts"
501531,"US","01531","Massachusetts"
501532,"US","01532","Massachusetts"
501534,"US","01534","Massachusetts"
501535,"US","01535","Massachusetts"
501536,"US","01536","Massachusetts"
501537,"US","01537","Massachusetts"
501540,"US","01540","Massachusetts"
501541,"US","01541","Massachusetts"
501542,"US","01542","Massachusetts"
501543,"US","01543","Massachusetts"
501545,"US","01545","Massachusetts"
501550,"US","01550","Massachusetts"
501560,"US","01560","Massachusetts"
501561,"US","01561","Massachusetts"
501562,"US","01562","Massachusetts"
501564,"US","01564","Massachusetts"
501566,"US","01566","Massachusetts"
501568,"US","01568","Massachusetts"
501569,"US","01569","Massachusetts"
501570,"US","01570","Massachusetts"
501571,"US","01571","Massachusetts"
501581,"US","01581","Massachusetts"
501583,"US","01583","Massachusetts"
501585,"US","01585","Massachusetts"
501588,"US","01588","Massachusetts"
501590,"US","01590","Massachusetts"
501602,"US","01602","Massachusetts"
501603,"US","01603","Massachusetts"
501604,"US","01604","Massachusetts"
501605,"US","01605","Massachusetts"
501606,"US","01606","Massachusetts"
501607,"US","01607","Massachusetts"
501608,"US","01608","Massachusetts"
501609,"US","01609","Massachusetts"
501610,"US","01610","Massachusetts"
501611,"US","01611","Massachusetts"
501612,"US","01612","Massachusetts"
501701,"US","01701","Massachusetts"
501702,"US","01702","Massachusetts"
501718,"US","01718","Massachusetts"
501719,"US","01719","Massachusetts"
501720,"US","01720","Massachusetts"
501721,"US","01721","Massachusetts"
501730,"US","01730","Massachusetts"
