"gid","iso_a2","code","name","level_0","level_1","level_2","level_3","bbox"
100000052036,"FR","52036","Balesmes-sur-Marne","FR","Grand Est","Haute-Marne","Saints-Geosmes","5.339115 47.800586 5.407684 47.835748"
100000530171,"FR","53017","Ballée","FR","Pays de la Loire","Mayenne","Val-du-Maine","-0.448474 47.91206 -0.382838 47.960305"
100000058022,"FR","58022","Balleray","FR","Bourgogne-Franche-Comté","Nièvre","Vaux d'Amognes","3.241448 47.065658 3.309831 47.116798"
100000140351,"FR","14035","Balleroy","FR","Normandie","Calvados","Balleroy-sur-Drôme","-0.857713 49.167232 -0.819535 49.195178"
100000009036,"FR","09036","Banat","FR","Occitanie","Ariège","Tarascon-sur-Ariège","1.560257 42.840599 1.583314 42.857665"
100000044008,"FR","44008","Barbechat","FR","Pays de la Loire","Loire-Atlantique","Divatte-sur-Loire","-1.323341 47.259012 -1.274764 47.306343"
100000008050,"FR","08050","Barricourt","FR","Grand Est","Ardennes","Tailly","5.019365 49.400587 5.077498 49.433504"
100000240261,"FR","24026","Bassillac","FR","Nouvelle-Aquitaine","Dordogne","Bassillac et Auberoche","0.790365 45.150818 0.861507 45.205878"
100000061027,"FR","61027","Batilly","FR","Normandie","Orne","Écouché-les-Vallées","-0.211616 48.709461 -0.147256 48.748693"
100000055030,"FR","55030","Baudignécourt","FR","Grand Est","Meuse","Demange-Baudignécourt","5.413458 48.557232 5.501577 48.5737"
100000050035,"FR","50035","Baudreville","FR","Normandie","Manche","La Haye","-1.635593 49.291608 -1.612067 49.324769"
100000490181,"FR","49018","Baugé","FR","Pays de la Loire","Maine-et-Loire","Baugé-en-Anjou","-0.140297 47.528779 -0.076245 47.569239"
100000180231,"FR","18023","Baugy","FR","Centre-Val de Loire","Cher","Baugy","2.668545 47.047118 2.754014 47.102352"
100000020531,"FR","02053","Baulne-en-Brie","FR","Hauts-de-France","Aisne","Vallées en Champagne","3.574389 48.958995 3.639746 49.01706"
100000049019,"FR","49019","Bauné","FR","Pays de la Loire","Maine-et-Loire","Loire-Authion","-0.393405 47.484734 -0.302043 47.538775"
100000014056,"FR","14056","Bauquay","FR","Normandie","Calvados","Les Monts d'Aunay","-0.635384 49.028209 -0.608497 49.045058"
100000008051,"FR","08051","Bay","FR","Grand Est","Ardennes","Blanchefosse-et-Bay","4.226342 49.738712 4.273988 49.776431"
100000080531,"FR","08053","Bazeilles","FR","Grand Est","Ardennes","Bazeilles","4.954732 49.658188 5.010685 49.704741"
100000020541,"FR","02054","Bazoches-sur-Vesles","FR","Hauts-de-France","Aisne","Bazoches-et-Saint-Thibaut","3.589291 49.274809 3.647598 49.323437"
100000720251,"FR","72025","Bazouges-sur-le-Loir","FR","Pays de la Loire","Sarthe","Bazouges Cré sur Loir","-0.220197 47.644803 -0.117804 47.719169"
100000052041,"FR","52041","Beaucharmoy","FR","Grand Est","Haute-Marne","Le Châtelet-sur-Meuse","5.650497 47.972646 5.68862 47.993756"
100000061031,"FR","61031","Beauchêne","FR","Normandie","Orne","Tinchebray-Bocage","-0.768774 48.661785 -0.69938 48.703718"
100000490211,"FR","49021","Beaufort-en-Vallée","FR","Pays de la Loire","Maine-et-Loire","Beaufort-en-Anjou","-0.263156 47.393946 -0.149426 47.468487"
100000014051,"FR","14051","Beaufour","FR","Normandie","Calvados","Beaufour-Druval","0.004642 49.209601 0.066373 49.230735"
100000061033,"FR","61033","Beaulandais","FR","Normandie","Orne","Juvigny Val d'Andaine","-0.55784 48.513432 -0.505421 48.558367"
100000014052,"FR","14052","Beaulieu","FR","Normandie","Calvados","Souleuvre en Bocage","-0.832392 48.903803 -0.801031 48.92967"
100000580261,"FR","58026","Beaulieu","FR","Bourgogne-Franche-Comté","Nièvre","Beaulieu","3.50088 47.238706 3.541391 47.262271"
100000079028,"FR","79028","Beaulieu-sous-Bressuire","FR","Nouvelle-Aquitaine","Deux-Sèvres","Bressuire","-0.579393 46.860017 -0.487167 46.901412"
100000190191,"FR","19019","Beaulieu-sur-Dordogne","FR","Nouvelle-Aquitaine","Corrèze","Beaulieu-sur-Dordogne","1.808422 44.957387 1.851056 45.006603"
